,d̄,improvement %,GW t,GW one-sided p,DM*,DM p,sig at 5%,meets min effect
HR-ETE-GNN (α=0.5),-0.0006989976989605648,-5.140661711585474,-1.9277786643084596,0.973058668687901,-3.1219530344415456,0.9990178699693898,False,False
HR-ETE-GNN (α=1.5),-0.004316781195769137,-31.747045581668658,-8.90476335283645,1.0,-15.220034064452875,1.0,False,False
No-graph ablation,8.395758993609868e-05,0.6174520583162115,0.2302463604140954,0.4089501695075761,0.3737908942292777,0.35440647859971053,False,False
Random graph,0.0009955542063003894,7.321636963535996,3.463302996789522,0.000266793582845537,5.960740458360849,3.382449653699382e-09,True,True
HAR-RV (Corsi 2009),0.007407045914102699,54.47388079131797,8.791838395927181,0.0,12.391609914739337,0.0,True,True
Random walk,0.007591597222208076,55.83113253164716,9.455832345314933,0.0,13.279067194120483,0.0,True,True
