Date,EWA,EWC,EWG,EWJ,EWT,EWU,EWW,EWY,EWZ,EZA,URTH
2018-01-02,16.592336654663086,25.079797744750977,26.783170700073242,50.64166259765625,23.189287185668945,26.087596893310547,39.730979919433594,65.46045684814453,25.702430725097656,44.317527770996094,76.55236053466797
2018-01-03,16.699058532714844,25.17203140258789,26.92006492614746,51.338844299316406,23.42243766784668,26.044294357299805,39.72308349609375,66.03852844238281,26.01693344116211,44.50763702392578,77.00938415527344
2018-01-04,16.763093948364258,25.34811782836914,27.362958908081055,51.96881103515625,23.416139602661133,26.145322799682617,39.78618240356445,65.5639877319336,26.189598083496094,44.336544036865234,77.35429382324219
2018-01-05,16.86271095275879,25.440353393554688,27.644807815551758,52.11161422729492,23.605182647705078,26.260791778564453,40.20414733886719,66.4267807006836,26.41775894165039,44.71039581298828,77.96649932861328
2018-01-08,16.77020835876465,25.356502532958984,27.56427764892578,52.414005279541016,23.54216957092285,26.23192596435547,40.20414733886719,66.49580383300781,26.312925338745117,44.16546630859375,77.77680206298828
2018-01-09,16.79155731201172,25.289424896240234,27.556222915649414,52.44758987426758,23.51066017150879,26.253572463989258,39.896583557128906,66.22834014892578,26.10942840576172,44.4696159362793,77.9578857421875
2018-01-10,16.649253845214844,25.037872314453125,27.31464195251465,52.7835807800293,23.283809661865234,26.22470474243164,39.02121353149414,65.90910339355469,26.090927124023438,43.88032150268555,77.77680206298828
2018-01-11,16.74886703491211,25.163644790649414,27.443492889404297,53.136375427246094,23.428741455078125,26.390689849853516,39.1947135925293,66.53031921386719,26.578094482421875,43.53813552856445,78.32003784179688
2018-01-12,16.84136199951172,25.247495651245117,27.789752960205078,53.30436325073242,23.605182647705078,26.780376434326172,39.97544479370117,67.21192932128906,26.658260345458984,44.06407928466797,79.027099609375
2018-01-16,16.691944122314453,25.34811782836914,27.830015182495117,53.30436325073242,23.6492919921875,26.744293212890625,40.74830627441406,66.87543487548828,26.565759658813477,44.45060729980469,78.88912963867188
2018-01-17,16.784439086914062,25.406814575195312,27.902488708496094,53.732749938964844,23.9328556060791,26.874191284179688,41.19782257080078,67.1860580444336,27.046751022338867,45.18564224243164,79.36339569091797
2018-01-18,16.798669815063477,25.34811782836914,28.06354331970215,53.2791633605957,24.102998733520508,26.874191284179688,41.49749755859375,66.68560791015625,27.108421325683594,45.84463119506836,79.216796875
2018-01-19,16.834245681762695,25.27265167236328,28.377601623535156,53.61515808105469,24.474782943725586,26.91027069091797,41.38709259033203,67.0221176147461,27.42291831970215,45.51513671875,79.57894897460938
2018-01-22,16.8555908203125,25.373271942138672,28.554752349853516,53.84193801879883,24.77724838256836,27.141202926635742,41.442291259765625,66.29736328125,27.521581649780273,46.56698989868164,80.13080596923828
2018-01-23,16.891162872314453,25.431968688964844,28.707752227783203,54.169532775878906,24.68273162841797,27.170072555541992,41.41863250732422,66.53895568847656,26.92341423034668,46.921836853027344,80.38948059082031
2018-01-24,16.99077796936035,25.50743865966797,28.635282516479492,54.186336517333984,24.575605392456055,27.292747497558594,42.52272033691406,67.21192932128906,28.58224105834961,47.47944641113281,80.54469299316406
2018-01-25,16.94097137451172,25.322961807250977,28.43396759033203,53.92593765258789,24.644922256469727,27.112333297729492,42.17571258544922,67.565673828125,28.89056968688965,47.68222427368164,80.43257904052734
2018-01-26,17.15442657470703,25.423585891723633,28.61918067932129,54.320716857910156,24.68273162841797,27.336048126220703,42.64100646972656,68.19551849365234,29.186567306518555,48.14478302001953,81.11378479003906
2018-01-29,17.033472061157227,25.18880271911621,28.35344123840332,53.858741760253906,24.474782943725586,27.047386169433594,42.04954147338867,67.84178161621094,28.606903076171875,46.205814361572266,80.59642028808594
2018-01-30,16.89828109741211,25.02947998046875,28.12796401977539,53.16996765136719,24.16600799560547,26.917484283447266,41.51327133178711,67.00486755371094,28.557579040527344,45.356727600097656,79.77725982666016
2018-01-31,16.912511825561523,25.05463981628418,28.192384719848633,52.867576599121094,24.348752975463867,26.81645965576172,41.8839225769043,67.5052719116211,28.73023796081543,45.711570739746094,79.91522979736328
2018-02-01,16.99077796936035,24.97079086303711,27.942752838134766,53.12797164916992,24.285741806030273,26.81645965576172,42.63311767578125,66.56482696533203,28.810405731201172,45.18564224243164,79.90660095214844
2018-02-02,16.734638214111328,24.283212661743164,27.266332626342773,52.34680938720703,23.794225692749023,26.1741943359375,41.70254135131836,63.88153839111328,27.786745071411133,43.582496643066406,78.22518157958984
2018-02-05,16.172542572021484,23.604022979736328,26.147008895874023,49.868900299072266,23.164081573486328,24.92574119567871,39.96756362915039,61.992008209228516,26.80008888244629,41.35838317871094,74.93130493164062
2018-02-06,16.32907485961914,23.70464515686035,26.9683837890625,51.07844924926758,23.40353775024414,25.47418785095215,41.04008865356445,64.41645812988281,27.823745727539062,43.76626205444336,76.32818603515625
2018-02-07,15.987549781799316,23.528553009033203,26.509376525878906,50.62487030029297,22.99394416809082,25.214401245117188,40.2514762878418,61.42256546020508,26.966588973999023,42.65736770629883,75.79356384277344
2018-02-08,15.53930377960205,22.991910934448242,25.64774513244629,49.12133026123047,22.181058883666992,24.74532699584961,39.06853485107422,59.472633361816406,26.07859992980957,40.83879089355469,73.31884765625
2018-02-09,15.738527297973633,23.03383445739746,25.83296012878418,49.616905212402344,22.634761810302734,24.73811149597168,39.69942855834961,60.88762283325195,26.615089416503906,42.01737976074219,74.28462219238281
2018-02-12,15.987549781799316,23.318925857543945,26.203380584716797,50.58287048339844,22.874217987060547,25.019550323486328,39.920249938964844,61.69002914428711,26.997425079345703,43.27834701538086,75.12963104248047
2018-02-13,16.08005142211914,23.33570098876953,26.155065536499023,49.96129608154297,22.981342315673828,25.062849044799805,40.02276611328125,61.91436004638672,27.139253616333008,44.07041931152344,75.25895690917969
2018-02-14,16.364652633666992,23.662715911865234,26.734853744506836,50.717262268066406,23.353126525878906,25.488622665405273,40.6300048828125,63.743473052978516,27.866912841796875,45.75592041015625,76.46614074707031
2018-02-15,16.485610961914062,23.81364631652832,26.75096321105957,50.96085739135742,23.77532196044922,25.726764678955078,41.142616271972656,65.16710662841797,28.064245223999023,47.57450485229492,77.16458892822266
2018-02-16,16.350421905517578,23.70464515686035,26.79927635192871,51.74201965332031,23.81313133239746,25.70511817932129,41.08740997314453,65.3482894897461,28.082740783691406,47.0485725402832,77.33704376220703
2018-02-20,16.30773162841797,23.578861236572266,26.541589736938477,51.32204055786133,23.447649002075195,25.430896759033203,40.57481384277344,62.93245315551758,28.286245346069336,45.679874420166016,76.74207305908203
2018-02-21,16.265039443969727,23.61240577697754,26.356380462646484,50.80966567993164,23.3657283782959,25.35873031616211,40.117401123046875,62.768524169921875,28.273914337158203,45.812950134277344,76.26782989501953
2018-02-22,16.393115997314453,23.562095642089844,26.4852237701416,51.044857025146484,23.29641342163086,25.409244537353516,40.92180633544922,62.751277923583984,28.52674102783203,45.84463119506836,76.47477722167969
2018-02-23,16.52118492126465,23.863956451416016,26.678485870361328,51.79241943359375,23.73750877380371,25.6257381439209,40.835052490234375,64.0886001586914,28.822738647460938,47.70756912231445,77.55261993408203
2018-02-26,16.699058532714844,23.981346130371094,26.79927635192871,52.46440124511719,23.895048141479492,25.78449821472168,40.724639892578125,64.81336212158203,29.0632381439209,47.713905334472656,78.28555297851562
2018-02-27,16.435802459716797,23.754953384399414,26.300010681152344,51.750431060791016,23.428741455078125,25.394811630249023,39.86503982543945,63.035980224609375,28.545242309570312,45.895328521728516,77.14734649658203
2018-02-28,16.23657989501953,23.302156448364258,26.114795684814453,51.296844482421875,23.09476661682129,25.019550323486328,39.36032485961914,62.199058532714844,28.045745849609375,45.21731948852539,76.43165588378906
2018-03-01,16.129852294921875,23.151222229003906,25.615530014038086,49.810096740722656,23.189287185668945,24.74532699584961,39.56536102294922,61.879844665527344,28.039579391479492,45.128604888916016,75.42280578613281
2018-03-02,16.179658889770508,23.042217254638672,25.615530014038086,50.37288284301758,23.33422088623047,24.80306053161621,39.51804733276367,62.38026809692383,28.119741439819336,45.45810317993164,75.66423034667969
2018-03-05,16.250810623168945,23.109298706054688,25.98595428466797,50.599666595458984,23.378328323364258,24.96903419494629,39.64423751831055,62.078285217285156,28.317079544067383,45.83196258544922,76.44889831542969
2018-03-06,16.37887954711914,23.260231018066406,26.138957977294922,50.910457611083984,23.630386352539062,25.09171485900879,39.920249938964844,64.26978302001953,28.514404296875,46.64937210083008,76.65584564208984
2018-03-07,16.272157669067383,23.16799545288086,26.34832763671875,50.48207092285156,23.6492919921875,25.084505081176758,39.817726135253906,64.09723663330078,28.132080078125,46.795108795166016,76.68171691894531
2018-03-08,16.29350471496582,23.260231018066406,26.316116333007812,50.792869567871094,23.71860694885254,25.127798080444336,40.51171112060547,63.89016342163086,27.78057861328125,46.65570068359375,76.9576416015625
2018-03-09,16.58521842956543,23.495014190673828,26.404693603515625,50.91885757446289,24.065187454223633,25.308212280273438,40.906028747558594,65.74517059326172,28.360248565673828,47.13727951049805,77.8458023071289
2018-03-12,16.578102111816406,23.478242874145508,26.525482177734375,50.96925735473633,24.279434204101562,25.272127151489258,41.05587387084961,65.74517059326172,28.50208282470703,46.73808288574219,77.92337799072266
2018-03-13,16.364652633666992,23.285385131835938,26.090639114379883,50.885257720947266,24.26683235168457,25.062849044799805,40.89814376831055,65.39141845703125,28.224576950073242,46.053749084472656,77.38013458251953
2018-03-14,16.435802459716797,23.36085319519043,26.211429595947266,51.1036491394043,24.254230499267578,25.12058448791504,40.69309997558594,65.9263687133789,28.181411743164062,45.825626373291016,77.25943756103516
2018-03-15,16.25792694091797,23.23508071899414,26.29195785522461,51.204444885253906,24.317245483398438,25.098936080932617,40.10952377319336,65.70204162597656,27.540082931518555,45.109596252441406,77.18183898925781
2018-03-16,16.201004028320312,23.201539993286133,26.275854110717773,50.9776496887207,24.247928619384766,25.15666389465332,39.770408630371094,65.81419372558594,27.509248733520508,44.6153564453125,77.19046783447266
